asn,name,country,registry
AS1,"Level 3 Parent, LLC",US,arin
AS10,CSNET Coordination and Information Center (CSNET-CIC),US,arin
AS100,FMC Central Engineering Laboratories,US,arin
AS1000,GONET,CA,arin
AS10000,Nagasaki Cable Media Inc.,JP,jpnic
AS10001,Mics Network Corporation,JP,jpnic
AS10002,"IGAUENO CABLE TELEVISION CO.,LTD",JP,jpnic
AS10003,"Ogaki Cable Television Co.,Inc.",JP,jpnic
AS10004,JIN Office Service Inc.,JP,jpnic
AS10006,"SECOM Trust Systems Co.,Ltd.",JP,jpnic
AS10007,SoftBank Mobile Corp.,JP,jpnic
AS1001,GONET,CA,arin
AS10010,TOKAI Communications Corporation,JP,jpnic
AS10011,advanscope.inc,JP,jpnic
AS10012,Rakuten Communications Corp.,JP,jpnic
AS10013,"FreeBit Co.,Ltd.",JP,jpnic
AS10014,Nihon University,JP,jpnic
AS10015,"Cyber Wave Japan Co., Ltd.",JP,jpnic
AS10016,Minaminihon Information Processing Center Co Ltd,JP,jpnic
AS10019,Matsusaka Cable-TV Station Inc.,JP,jpnic
AS1002,GONET,CA,arin
AS10021,"KVH Co.,Ltd",JP,jpnic
AS10022,Internet access for Datacom Systems Auckland,NZ,apnic
AS10023,Vixtel Pty Ltd,AU,apnic
AS10024,LGA International,SG,apnic
AS10025,The IUSN Foundation,NU,apnic
AS10026,PACNET,JP,apnic
AS10027,Verizon Australia PTY Limited,AU,apnic
AS10028,Information System Department,TH,apnic
AS10029,SHYAM SPECTRA PVT LTD,IN,apnic
AS1003,GONET,CA,arin
AS10030,Celcom Internet Service Provider,MY,apnic
AS10031,"WEBSATMEDIA PTE LTD, Satellite Over IP, Singapore",SG,apnic
AS10032,HGC Global Communications Limited,HK,apnic
AS10033,iBasis Tokyo ICO,JP,apnic
AS10034,SEOUL AGRICULTURAL & MARINE PRODUCTS CORP.,KR,apnic
AS10035,"Hyundai Department Store Co., Ltd.",KR,apnic
AS10036,DLIVE,KR,apnic
AS10037,"CJ Hello Co., Ltd.",KR,apnic
AS10038,NHN Entertainment Museum,KR,apnic
AS10039,Korea Health Industry Development Institute,KR,apnic
AS1004,GONET,CA,arin
AS10040,"NICE Information & Telecommunication, Inc",KR,apnic
AS10041,ShinhanCapital,KR,apnic
AS10042,SUSEONG COLLEGE,KR,apnic
AS10043,Ministry of Science and ICT,KR,apnic
AS10044,Rural Development Administration (RDA),KR,apnic
AS10045,Hanbat National University,KR,apnic
AS10046,HOWON UNIVERSITY,KR,apnic
AS10047,Namseoul university,KR,apnic
AS10048,ILINKKOREA,KR,apnic
AS10049,"SK Co.,",KR,apnic
AS1005,GONET,CA,arin
AS10050,The National Library of Korea,KR,apnic
AS10051,Korea Post Information Center,KR,apnic
AS10052,Kyungpook National University,KR,apnic
AS10053,yeonsung University,KR,apnic
AS10054,CMB Kwangju Broadcasting,KR,apnic
AS10055,Korean National Railroad Administration,KR,apnic
AS10056,Hyundai Marin & Fire Insurance,KR,apnic
AS10058,NACUFOK,KR,apnic
AS10059,LG DACOM KIDC,KR,apnic
AS1006,GONET,CA,arin
AS10061,Financial Supervisory Service,KR,apnic
AS10062,Branksome Hall Asia,KR,apnic
AS10063,Korea Meteorological Administration,KR,apnic
AS10064,GEPS Cheonan Sagnokresort,KR,apnic
AS10066,"CJ Hello Co., Ltd.",KR,apnic
AS10067,LG CNS,KR,apnic
AS10068,ILINKKOREA,KR,apnic
AS10069,Seoul Metro,KR,apnic
AS1007,GONET,CA,arin
AS10070,KRISS SubDAEJONnetworks connected to backbone,KR,apnic
AS10071,anyang University,KR,apnic
AS10072,Shinhan Bank,KR,apnic
AS10073,Korea National Open University,KR,apnic
AS10074,iBasis Singapore ICO,SG,apnic
AS10076,ERDEMNET Mongolian National Research and Education Network,MN,apnic
AS10077,Tikona Infinet Ltd.,IN,apnic
AS10078,IBC Systems Administrator,AU,apnic
AS10079,Pacific Dunlop Group,AU,apnic
AS1008,GONET,CA,arin
AS10080,B.L NANKIVELL & R.G NANKIVELL T/A RBE INTERNET SERVICES,AU,apnic
AS10081,DiGi Telecommunications Sdn Bhd,MY,apnic
AS10082,Morgan Stanley Asia Limited,HK,apnic
AS10083,Cynergic Internet,AU,apnic
AS10084,WAIX Hostmaster,AU,apnic
AS10085,PEER WITH OVERSEA ISP,TW,apnic
AS10086,T-SYSTEMS SINGAPORE PTE LTD,SG,apnic
AS10087,Printed Circuits Manufacturer,HK,apnic
AS10088,KWANGWOON UNIVERSITY,KR,apnic
AS10089,Total Access Communication PLC.,TH,apnic
AS1009,GONET,CA,arin
AS10090,LDS Church of Jesus Christ,AU,apnic
AS10091,StarHub Cable Vision Ltd,SG,apnic
AS10092,AAPT Ltd,AU,apnic
AS10093,AAPT Ltd,AU,apnic
AS10094,BruNet - Telekom Brunei Berhad,BN,apnic
AS10095,SHENZHOUNET-CMCNET,CN,apnic
AS10096,"Easycall Communications Phils., Inc.",PH,apnic
AS10097,FLOWCOM,AU,apnic
AS10098,Towngas Telecommunications Fixed Network Ltdetwork Ltd,HK,apnic
AS10099,China Unicom Global,HK,apnic
AS101,University of Washington,US,arin
AS1010,GONET,CA,arin
AS10100,UBS Group AG,CH,apnic
AS10101,Simpur ISP,BN,apnic
AS10102,1Asia Communication Pte Ltd,SG,apnic
AS10103,HK Broadband Network Ltd.,HK,apnic
AS10104,Internet Depot,AU,apnic
AS10105,OMNIconnect Pty Ltd,AU,apnic
AS10106,Federation Training,AU,apnic
AS10107,aastar,PH,apnic
AS10108,"DRESDNER KLEINWORT WASSERSTEIN,",HK,apnic
AS10109,"Topica LLC, Internet Service Provider,Ulaanbaatar, Mongolia",MN,apnic
AS1011,GONET,CA,arin
AS10110,Manukau Institute of Technology,NZ,apnic
AS10111,Bandle City Internet,HK,apnic
AS10112,THE VALUE HOSTED (PVT.) LIMITED,PK,apnic
AS10113,Eftel Limited.,AU,apnic
AS10114,PT.Medialintas Antar Buana,ID,apnic
AS10115,Australian Taxation OAffice,AU,apnic
AS10116,HTHK Internet Network Management Center,HK,apnic
AS10117,Viewqwest Singapore Pte Ltd Broadband Border AS,SG,apnic
AS10118,HTHK Internet Network Management Center,HK,apnic
AS10119,ISW Head Office in Hobart,AU,apnic
AS1012,GONET,CA,arin
AS10120,IBM Sinapore Server Farm,SG,apnic
AS10121,RISK MANAGEMENT SOLUTIONS INDIA PRIVATE LIMITED,IN,apnic
AS10124,Amazon INFS private,JP,apnic
AS10125,INTERGLOBE IS A LARGE BPO AND IT COMPANY IN TRAVEL DOMAIN,IN,apnic
AS10126,Taiwan Internet Gateway,TW,apnic
AS10127,CLSA Ltd,HK,apnic
AS10128,Optus Customer Network,AU,apnic
AS10129,Salomon Smith Barney Australia Pty Ltd,AU,apnic
AS1013,GONET,CA,arin
AS10130,FSM Telecommunications Corporation,FM,apnic
AS10131,Telecom Cook Islands,CK,apnic
AS10132,Towngas Telecommunications Fixed Network Ltdetwork Ltd,HK,apnic
AS10133,Chief Telecom Network Consulter,TW,apnic
AS10134,We are an ASP/ISP,AU,apnic
AS10135,EASPNET Inc.,TW,apnic
AS10136,PACSWITCH NETWORK,HK,apnic
AS10137,Patrakom Internet Service Provider,ID,apnic
AS10138,iBasis-Sydney ICO,HK,apnic
AS10139,"Smart Broadband, Inc.",PH,apnic
AS1014,GONET,CA,arin
AS10140,SingTel Internet Exchange,SG,apnic
AS10141,DFNN Group of Companies,PH,apnic
AS10142,Well.Com Pre-Press Services,AU,apnic
AS10143,Exetel System Administrator,AU,apnic
AS10144,Eclipse Telecomunications Australia,AU,apnic
AS10145,SecureIP,AU,apnic
AS10146,Ford Asia Pacific Extranet Planner,SG,apnic
AS10147,Cloud Network Services (HK) Ltd,HK,apnic
AS10148,"The University of Melbourne, Melbourne, Victoria",AU,apnic
AS10149,SINGAPORE TELECOMMUNIATIONS LIMITED,SG,apnic
AS1015,GONET,CA,arin
AS10150,Optus Customer Network,AU,apnic
AS10151,"IT One Co., Ltd.",TH,apnic
AS10152,NEC Australia Pty Ltd,AU,apnic
AS10153,ONE.TEL Limited (Hong Kong),HK,apnic
AS10154,DUNAMU,KR,apnic
AS10155,"CJ Hello Co., Ltd.",KR,apnic
AS10156,Seoul National University of Education,KR,apnic
AS10158,Kakao Corp,KR,apnic
AS10159,HANKUK Aviation University,KR,apnic
AS1016,GONET,CA,arin
AS10160,KDDI KOREA,KR,apnic
AS10161,QIA,KR,apnic
AS10162,SNUH,KR,apnic
AS10163,"HANKOOK TIRE CO.,LTD.",KR,apnic
AS10164,"",KR,apnic
AS10165,KOREA CUSTOMS SERVICE,KR,apnic
AS10166,Korea Water Resources Corporation,KR,apnic
AS10167,HANVIT BANK,KR,apnic
AS10168,Standard Chartered,KR,apnic
AS10169,AMOREPACIFIC,KR,apnic
AS1017,GONET,CA,arin
AS10170,The Bank of Korea,KR,apnic
AS10171,SKTelink,KR,apnic
AS10172,KYOBO BOOK CENTER,KR,apnic
AS10173,KSNET.Inc,KR,apnic
AS10174,Munhwa Broadcasting Corporation,KR,apnic
AS10175,Kumho Cable,KR,apnic
AS10176,Daejon Metropolitan Office of Education,KR,apnic
AS10177,"GREEN CROSS LIFE INSURANCE Co.,Ltd",KR,apnic
AS10178,Korea Baptist Theological University/Seminary,KR,apnic
AS10179,Daehan Investment Trust Securities,KR,apnic
AS1018,GONET,CA,arin
AS10180,Duksung Womens University,KR,apnic
AS10181,Korea Register of Shipping,KR,apnic
AS10182,Korea Shipping Association,KR,apnic
AS10183,Korea Culture Information Service Agency,KR,apnic
AS10184,Korean Federation of Community Credit Cooperatives,KR,apnic
AS10185,Hana Bank Co.,KR,apnic
AS10187,Korea Information Society Developement Institute,KR,apnic
AS10188,Songdo Chadwick international School,KR,apnic
AS10189,Hyundai Ubiquitous & Information Technology),KR,apnic
AS1019,GONET,CA,arin
AS10190,Joongbu University,KR,apnic
AS10191,SEEGENE MEDICAL FOUNDATION,KR,apnic
AS10192,"kiwoom Securities.co.,Ltd",KR,apnic
AS10193,BUSANBANK,KR,apnic
AS10194,Doosan Heavy Industries & Construction Co.Ltd,KR,apnic
AS10195,HAIonNet,KR,apnic
AS10196,KOOKMIN BANK,KR,apnic
AS10197,Chonnam National University,KR,apnic
AS10198,Catholic University of Pusan,KR,apnic
AS10199,Tata Communications Ltd,IN,apnic
AS102,National Science Foundation,US,arin
AS1020,GONET,CA,arin
AS10200,Web hosting provider and ISP connectivity.,NZ,apnic
AS10201,Dishnet Wireless Limited. Broadband Wireless,IN,apnic
AS10202,BOC International Holdings Limited,HK,apnic
AS10203,Datacom Systems VIC - Melbourne Networks,AU,apnic
AS10204,Arcnet NTT MSC ISP,MY,apnic
AS10205,ON.CC (BVI) LIMITED,HK,apnic
AS10206,China Unicom Zhongwei Cloud,CN,apnic
AS10207,Intervolve,AU,apnic
AS10208,PT. Millenium Internetindo,ID,apnic
AS10209,Japan HUB and Data Center,JP,apnic
AS1021,GONET,CA,arin
AS10210,Over the Wire Pty Ltd,AU,apnic
AS10211,iBasis Malaysia-KUL ICO,MY,apnic
AS10212,China Enterprise Communications Ltd.,CN,apnic
AS10213,Workcover Corporation,AU,apnic
AS10214,BEIJING HUINION TECHNOLOGY LIMITED COMPAMY,,ripe
AS10215,Microland Limited. IT Infra Service Provider. India,IN,apnic
AS10216,NM Rothschild & Sons,AU,apnic
AS10217,PT. NTT Indonesia,ID,apnic
AS10218,Optus Customer Network,AU,apnic
AS10219,SKYMEDIA CORPORATION LLC,MN,apnic
AS1022,GONET,CA,arin
AS10220,PT. Sejahtera  Globalindo,ID,apnic
AS10221,Multi-homed connections to multiple ISP's providing,AU,apnic
AS10222,Multibyte Info Technology Limited,HK,apnic
AS10223,Uecomm Ltd,AU,apnic
AS10224,"ABS-CBN Convergence, Inc",PH,apnic
AS10225,Nettlinx Limited,IN,apnic
AS10226,Enterprise of Telecommunications Lao,LA,apnic
AS10227,Institute Rajabhat Suandusit,TH,apnic
AS10228,Yahoo Inc.,US,apnic
AS10229,Internet Content Provider,TW,apnic
AS1023,GONET,CA,arin
AS10230,Yahoo Inc.,US,apnic
AS10231,Tech-trans System Ltd.,HK,apnic
AS10232,Hutchison-Priceline (HK) Limited,HK,apnic
AS10233,West Australian Service Providers,AU,apnic
AS10234,Zurich Financial Services Australia,AU,apnic
AS10235,National Australia Bank Limited,AU,apnic
AS10237,Dun & Bradstreet Australia Provider of Business,AU,apnic
AS10238,Cyber Channel International Ltd,HK,apnic
AS10239,Comsat Max ISP,IN,apnic
AS1024,GONET,CA,arin
AS10240,"The Motley Fool, Inc.",US,arin
AS10241,"Options & Choices, Inc.",US,arin
AS10242,US Internet Corp,US,arin
AS10243,STRC,US,arin
AS10244,"Edify, Inc.",US,arin
AS10245,"Nextweb, Inc",US,arin
AS10246,Applied Graphics Technologies,US,arin
AS10247,Netline (Pty) Ltd.,ZA,afrinic
AS10248,BAY BANKS OF VIRGINIA,US,arin
AS10249,"RedZone Wireless, LLC",US,arin
AS1025,GONET,CA,arin
AS10250,INet Solutions,US,arin
AS10251,"Digital Internet Access Link, Inc.",US,arin
AS10252,"Dot-Net, Ltd",US,arin
AS10253,Internet Engineering Group,US,arin
AS10254,Watson Wyatt Worldwide,US,arin
AS10255,Sinister Networks,US,arin
AS10256,Akula Communications Corp.,US,arin
AS10257,"Infinity Internet, Inc.",US,arin
AS10258,Sapient Health Network,US,arin
AS10259,Blue Moon Online System,US,arin
AS1026,GONET,CA,arin
AS10260,ACCESS Chicago Internet Services,US,arin
AS10261,Crossroads WiFi,US,arin
AS10262,Improtech,ZA,afrinic
AS10263,MatchMaker/DFW-ISP,US,arin
AS10264,Scotia McLeod Inc.,CA,arin
AS10265,Seneca College of Applied Arts and Technology,CA,arin
AS10266,"MDC, Inc.",US,arin
AS10267,"GlobalVision Systems, Inc",US,arin
AS10268,USS.NET,US,arin
AS10269,Belize Telemedia Limited,BZ,lacnic
AS1027,GONET,CA,arin
AS10270,Idex Technologies,US,arin
AS10271,Meganet Communications,US,arin
AS10272,South Seas Internet Services,US,arin
AS10273,Florida Power & Light Company,US,arin
AS10274,"Excel.Net, Inc.",US,arin
AS10275,ABS-CBN International,US,arin
AS10276,GateKey Solutions,US,arin
AS10277,Ministerio de Cultura y Educacion,AR,lacnic
AS10278,Cable & Wireless (Barbados) Limited,BB,arin
AS10279,"West Carolina Communications, LLC",US,arin
AS1028,GONET,CA,arin
AS10280,GLOBAL ONE,US,arin
AS10281,GLOBAL ONE,US,arin
AS10282,GLOBAL ONE,US,arin
AS10283,GLOBAL ONE,US,arin
AS10284,GLOBAL ONE,US,arin
AS10285,MLS Wireless S/A,BR,lacnic
AS10286,TIESoft Internet Marketing Ltd.,US,arin
AS10287,East Tennessee Network,US,arin
AS10288,"MetroNet Internet Services, LLC",US,arin
AS10289,"WebNetworks International, Inc.",US,arin
AS1029,GONET,CA,arin
AS10290,Readers Digest,US,arin
AS10291,"Sage Enterprises, Inc.",US,arin
AS10292,Cable & Wireless Jamaica,JM,arin
AS10293,"CANTV Servicios, Venezuela",VE,lacnic
AS10294,Coast Community College District,US,arin
AS10295,Computer.Net LLC,US,arin
AS10296,GBM Corporation,US,arin
AS10297,eNET Inc.,US,arin
AS10298,"CACI Inc., Federal",US,arin
AS10299,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,CO,lacnic
AS103,Northwestern University,US,arin
AS1030,GONET,CA,arin
AS10300,NetSpeak Corporation,US,arin
AS10302,SNAPPYDSL.NET,US,arin
AS10303,Priori Networks,US,arin
AS10304,"Netchannel, INC.",US,arin
AS10305,"Verinet Communications, Inc.",US,arin
AS10306,"CNETech Net, Inc.",US,arin
AS10307,LIME,GD,arin
AS10308,Northeastern Illinois University,US,arin
AS10309,County of Marin,US,arin
AS1031,GONET,CA,arin
AS10310,Yahoo!,US,arin
AS10311,Time Warner Cable Internet LLC,US,arin
AS10312,Heartport Inc.,US,arin
AS10313,"Pequot Systems, Inc.",US,arin
AS10314,WorldPath Internet Services,US,arin
AS10315,ez network systems,US,arin
AS10316,Codero,US,arin
AS10317,Cuc International,US,arin
AS10318,Telecom Argentina S.A.,AR,lacnic
AS10319,Advanta Corporate Technology,US,arin
AS1032,GONET,CA,arin
AS10320,Internet Services Provider Network,US,arin
AS10321,Mercury Communications,US,arin
AS10322,Ercot Independent System Operations,US,arin
AS10323,"Planet Systems Network, Inc.",US,arin
AS10324,Wazoo's Computers,US,arin
AS10325,Ingram Micro Inc.,US,arin
AS10326,Worcester Polytechnic Institute,US,arin
AS10327,ComputerLand of Boise,US,arin
AS10328,"IKON/Universal Networks, Inc.",US,arin
AS10329,"CoreLAN Communications, Inc.",CA,arin
AS1033,GONET,CA,arin
AS10330,CoreComm Internet Services Inc,US,arin
AS10331,Metropolitan Health Corporate Ltd,ZA,afrinic
AS10332,MSHOW.com,US,arin
AS10333,Digital Insight Corporation,US,arin
AS10334,Navisite Internet Services,US,arin
AS10335,"Relay Technology, Inc",US,arin
AS10336,"PFN, Inc.",US,arin
AS10337,IBM AS/400 Division,US,arin
AS10338,Communications Billing Technologies,US,arin
AS10339,CommTel Internet,US,arin
AS1034,GONET,CA,arin
AS10340,TELE-TECH CO. INC.,US,arin
AS10341,IBC,CA,arin
AS10342,"Internet Information Services, Inc.",US,arin
AS10343,National Aeronautics and Space Administration,US,arin
AS10344,CyrusOne LLC,US,arin
AS10345,"Internet Connect, Inc.",US,arin
AS10346,"RedZone Wireless, LLC",US,arin
AS10347,Rand McNally,US,arin
AS10348,High Technology Development Corporation,US,arin
AS10349,Tulane University,US,arin
AS1035,GONET,CA,arin
AS10350,NETSchools Corporation,US,arin
AS10351,Enertron L.L.C.,US,arin
AS10352,Solarus,US,arin
AS10353,Southwest Tennessee Community College,US,arin
AS10354,QuebecTel Communications Inc,CA,arin
AS10355,Digital Service Consultants,US,arin
AS10356,Windy City Ltd.,US,arin
AS10357,James Madison University,US,arin
AS10358,"The Gotham Bus Company, Inc.",US,arin
AS10359,Epic Systems Corporation,US,arin
AS1036,GONET,CA,arin
AS10360,Software Alberta Society,CA,arin
AS10361,"Bloomberg, LP",US,arin
AS10362,UBIK DO BRASIL SOL TECNOLOGIA LTDA.,BR,lacnic
AS10363,"Lee Enterprises, Inc.",US,arin
AS10364,University of Alabama in Huntsville,US,arin
AS10365,WEB EXPRESS,US,arin
AS10366,"National Knowledge Networks, Inc.",US,arin
AS10367,Fibercast Corporation,US,arin
AS10368,RCN,US,arin
AS10369,Campbell Soup Company,US,arin
AS1037,GONET,CA,arin
AS10370,Northwest Airlines,US,arin
AS10371,National Aeronautics and Space Administration,US,arin
AS10372,"Norwest Services, Inc.",US,arin
AS10373,"Norwest Services, Inc.",US,arin
AS10374,"Norwest Services, Inc.",US,arin
AS10375,"Norwest Services, Inc.",US,arin
AS10376,"Norwest Services, Inc.",US,arin
AS10377,Sound Choice Communications LLC,US,arin
AS10378,"NodeWarrior Networks, Inc",US,arin
AS10379,Deluxe Corporation,US,arin
AS1038,GONET,CA,arin
AS10380,Net XS Communications,US,arin
AS10381,"Southwest Cyberport, Inc.",US,arin
AS10382,Northwest Pennsylvania Technical Institute,US,arin
AS10383,Qwest Corporation,US,arin
AS10384,Tennessee Valley Authority,US,arin
AS10385,eiger,US,arin
AS10386,VoyageurWeb,US,arin
AS10387,"cha!, LLC",US,arin
AS10388,NETinc,BM,arin
AS10389,JPMorgan Chase & Co.,US,arin
AS1039,GONET,CA,arin
AS10390,"TeleCheck International, Inc.",US,arin
AS10391,InteRED Panama,PA,lacnic
AS10392,New Source Broadband,US,arin
AS10393,Dimension Data (Pty) Ltd - Optinet,ZA,afrinic
AS10394,"Allways, Inc.",US,arin
AS10395,Virtual University Enterprises,US,arin
AS10396,"DATACOM CARIBE, INC.",PR,arin
AS10397,SinglePipe LLC,US,arin
AS10398,"Great Bridge Internet, Inc.",US,arin
AS10399,Waller Creek Communications,US,arin
AS104,University of Colorado at Boulder,US,arin
AS1040,GONET,CA,arin
AS10400,Toronto Star,CA,arin
AS10401,Society for Accelerated Advancement of Amphetamines,US,arin
AS10402,Harrison School District Two,US,arin
AS10403,"Dynasty Online, Inc",US,arin
AS10404,Interactive Classified Network,US,arin
AS10405,Union Pacific Railroad Company,US,arin
AS10406,"Tektronix, Inc.",US,arin
AS10407,IAAVC,US,arin
AS10408,"Spectrum Enterprises, Inc.",US,arin
AS10409,Easylink Services Corporation,US,arin
AS1041,GONET,CA,arin
AS10410,"Auto-Graphics, Inc.",US,arin
AS10411,Environmental Systems Research Institute,US,arin
AS10412,CIA. DE TECNOL. DA INFOR. E COMUNICAÇÃO DO PARANÁ,BR,lacnic
AS10413,Global Net,US,arin
AS10414,"QuestLink Technology, Inc.",US,arin
AS10415,"Vscape International, Inc",US,arin
AS10416,"Evolution Communications, Inc.",US,arin
AS10417,Fundação de Desenvolvimento da Pesquisa,BR,lacnic
AS10418,TEKNOS Consulting Corporation,US,arin
AS1042,GONET,CA,arin
AS10420,Banco de Mexico,MX,lacnic
AS10421,Texas Tech University,US,arin
AS10422,"Net Explorer, Inc.",US,arin
AS10423,Spartan-Net,US,arin
AS10424,Qwest Corporation,US,arin
AS10425,"Advanced Wireless Group, LLC",US,arin
AS10426,autobahn Internet Solutions,US,arin
AS10427,Federal Information Exchange,US,arin
AS10428,The College of West Virginia,US,arin
AS10429,Telefonica Data S.A.,BR,lacnic
AS1043,GONET,CA,arin
AS10430,Washington State K-20 Telecommunications Network,US,arin
AS10431,"Edge IT, LLC",US,arin
AS10432,American Personal Communications,US,arin
AS10433,USA-Net Corporation,US,arin
AS10434,"Satellite Communication Systems, Inc.",US,arin
AS10435,ID COMMUNICATIONS,US,arin
AS10436,Instituto Tecnológico y de Estudios Superiores de Monterrey,MX,lacnic
AS10437,"University of Kentucky, Communication Services",US,arin
AS10438,"Information Systems, Inc.",US,arin
AS10439,"CariNet, Inc.",US,arin
AS1044,GONET,CA,arin
AS10440,Merkle Inc.,US,arin
AS10441,CH2M HILL,US,arin
AS10442,Department of Education,US,arin
AS10443,Wolfe Internet Access,US,arin
AS10444,"ZB, National Association",US,arin
AS10445,Huntleigh Telcom,US,arin
AS10446,Zero Error Networks,US,arin
AS10447,"Skylink Networks, Inc.",US,arin
AS10448,Villanova University,US,arin
AS10449,"DiscoverNet, Inc.",US,arin
AS1045,GONET,CA,arin
AS10450,ADVANTECH,US,arin
AS10451,Warpdrive Networks,US,arin
AS10452,FritzWare S.R.L.,AR,lacnic
AS10453,"CREATIVE NETWORK INNOVATIONS, INC.",US,arin
AS10454,Interdotnet do Brasil Ltda,BR,lacnic
AS10455,Alcatel-Lucent,US,arin
AS10456,"AT&T Services, Inc.",US,arin
AS10457,Thomson Reuters U.S. LLC,US,arin
AS10458,"Juniper Networks, Inc.",US,arin
AS10459,Web America Networks,US,arin
AS1046,GONET,CA,arin
AS10460,"Scoop, Inc.",US,arin
AS10461,Eze Castle Software LLC,US,arin
AS10462,Shadow Infromation Services,US,arin
AS10463,Enlared C.A.,VE,lacnic
AS10464,"Team Technologies, LLC",US,arin
AS10465,Aerioconnect,US,arin
AS10466,MAGPI c/o University of Pennsylvania,US,arin
AS10467,New Media Laboratories,US,arin
AS10468,"Aslan Communications, Inc.",US,arin
AS10469,FIRST Inc.,US,arin
AS1047,GONET,CA,arin
AS10470,pcOrder.com,US,arin
AS10471,Thomson Information Services,US,arin
AS10472,Communications World Network,US,arin
AS10473,CompUSA Direct,US,arin
AS10474,Dimension Data (Pty) Ltd - Optinet,ZA,afrinic
AS10475,"VentureNet, L.L.C.",US,arin
AS10476,Cable Onda,PA,lacnic
AS10477,"Cephas Multimedia, Inc.",US,arin
AS10478,PTI Communications,US,arin
AS10479,Instituto Tecnológico y de Estudios Superiores de Monterrey,MX,lacnic
AS1048,GONET,CA,arin
AS10480,HIVELOCITY VENTURES CORP,US,arin
AS10481,Telecom Argentina S.A.,AR,lacnic
AS10482,Shaw Communications Inc.,CA,arin
AS10483,Alaska Permanent Fund,US,arin
AS10484,H&R Block,US,arin
AS10485,University of Wisconsin - Stout,US,arin
AS10486,"Fastrans Logistics, Inc.",US,arin
AS10487,"Simple Network Communications, Inc",US,arin
AS10488,tfm associates,US,arin
AS10489,"Satellite Management Services, Inc.",US,arin
AS1049,GONET,CA,arin
AS10490,Georgia Institute of Technology,US,arin
AS10491,"Diamond Link, Inc.",US,arin
AS10492,CAC-MediaNet,US,arin
AS10493,Grand Central Networks Inc.,US,arin
AS10494,"Accurate Automation, Inc.",US,arin
AS10495,GERAES CONSULTORIA E SISTEMAS LTDA.,BR,lacnic
AS10496,"Livingston Enterprises, Inc.",US,arin
AS10497,The World Bank Group,US,arin
AS10498,I-Wave Corp.,US,arin
AS10499,Rochester Gas and Electric Corporation,US,arin
AS105,Gould Computer Systems Division,US,arin
AS1050,GONET,CA,arin
AS10500,"JAB Wireless, INC.",US,arin
AS10501,PacLink Communications LLC,US,arin
AS10502,IFX NETWORKS COLOMBIA,CO,lacnic
AS10503,Tangipahoa Internet Services,US,arin
AS10504,"DHL AIRWAYS, INC.",US,arin
AS10505,Dockside Internet (PTY) Ltd,ZA,afrinic
AS10506,Evergreen Public Schools,US,arin
AS10507,Sprint Personal Communications Systems,US,arin
AS10508,University of Arkansas,US,arin
AS10509,Internet Expressway,US,arin
AS1051,GONET,CA,arin
AS10510,River City Internet Group (Primary Networks),US,arin
AS10511,"CC Services, Inc",US,arin
AS10512,E-FOREX,US,arin
AS10513,RCN,US,arin
AS10514,Splitrock Services Inc.,US,arin
AS10515,VeriSign Infrastructure & Operations,US,arin
AS10516,Orb-bit Design Group,US,arin
AS10517,Mellon Bank,US,arin
AS10518,Wall Internet LLC,US,arin
AS10519,"ANS Communications, Inc.",US,arin
AS1052,GONET,CA,arin
AS10520,Execulink Telecom Inc.,CA,arin
AS10521,"MarCom, Inc",US,arin
AS10522,BlueStar Communications,US,arin
AS10523,Excalibur Group,US,arin
AS10524,GOYA DE PUERTO RICO,PR,arin
AS10525,NCS Pearson Inc.,US,arin
AS10526,Direct Report Corporation,US,arin
AS10527,Pulver.com,US,arin
AS10528,Intelisys Electronic Commerce,US,arin
AS10529,Avondale Federal Savings Bank,US,arin
AS1053,GONET,CA,arin
AS10530,SES Americom Inc.,US,arin
AS10531,Terra Networks Brasil S.A.,BR,lacnic
AS10532,Rackspace Hosting,US,arin
AS10533,Hypnovista Network Services,CA,arin
AS10534,GoAmerica Communications Corp,US,arin
AS10535,"US Netway, Inc.",US,arin
AS10536,"Individual, Inc.",US,arin
AS10537,Winbeam,US,arin
AS10538,TelAlaska,US,arin
AS10539,"Netmore Internet, Inc.",US,arin
AS1054,GONET,CA,arin
AS10540,InfoDOOR Pty Ltd,ZA,afrinic
AS10541,Predictive Systems Inc.,US,arin
AS10542,Maplecrest Software Development Network Services Division,US,arin
AS10543,"Uptime Computer Services, Inc.",US,arin
AS10544,"NetGain Technologies, Inc.",US,arin
AS10545,Lynchburg College,US,arin
AS10546,Mississippi State University,US,arin
AS10547,Firebird Management LLC,US,arin
AS10548,"LCGM, Inc.",US,arin
AS10549,The EmiNet Domain,US,arin
AS1055,GONET,CA,arin
AS10550,University of Texas System,US,arin
AS10551,"Rapid City Regional Hospital, Inc.",US,arin
AS10552,Catapult Integrated Systems,US,arin
AS10553,Silverplatter Information,US,arin
AS10554,WESTERN UNIVERSITY OF HEALTH SCIENCES,US,arin
AS10555,"Semi-Custom Logic, Inc",US,arin
AS10556,American Telnet,US,arin
AS10557,"Connect Northwest Internet Services, LLC",US,arin
AS10558,"Biola University, Inc.",US,arin
AS10559,"Web Street Securities, Inc.",US,arin
AS1056,GONET,CA,arin
AS10560,Instituto Tecnológico y de Estudios Superiores de Monterrey,MX,lacnic
AS10561,Brandeis University,US,arin
