asn,name,country,registry
AS14199,Scholastic Inc.,US,arin
AS142,"Headquarters, USAISC",US,arin
AS1420,"STL OFFICE SOLUTIONS, INC.",US,arin
AS14200,Marshall University,US,arin
AS14201,"TeleTech Holdings, Inc",US,arin
AS14203,"Juniper Networks, Inc.",US,arin
AS14204,TAVOLA CONECTIVIDADE LTDA.,BR,lacnic
AS14205,"WAN Communications, Inc.",US,arin
AS14206,"Systems 2000, Inc",US,arin
AS14207,COREBYTE-1,"",radb
AS14208,BUDCO,US,arin
AS14209,University of Tennessee at Chattanooga,US,arin
AS1421,"WANSecurity, Inc.",US,arin
AS14210,"MCI Communications Services, Inc. d/b/a Verizon Business",US,arin
AS14211,"Gotham Web Services, Inc.",US,arin
AS14212,Santa Cruz County Office of Education,US,arin
AS14213,Monterey County Office of Education,US,arin
AS14214,Minacs Inc,CA,arin
AS14215,SABRE HOLDINGS CORPORATION,US,arin
AS14216,IShip.com,US,arin
AS14217,"Dataframe Logistics, Inc.",US,arin
AS14218,Tremblant Capital Group,US,arin
AS14219,"SouthData, Inc.",US,arin
AS1422,Media6degrees,US,arin
AS14220,Zoom Broadband,US,arin
AS14221,University of Washington,US,arin
AS14222,Navy Federal Credit Union,US,arin
AS14223,New York State Department of Health,US,arin
AS14224,"Airtap Communications, LLC",US,arin
AS14225,Inertia Beverage Group Inc.,US,arin
AS14226,Stifel Nicolaus and Company  Incorporated,US,arin
AS14227,The Forbin Project,US,arin
AS14228,New Dulcina Agridata LLC,US,arin
AS14229,Williams Electronics Games,US,arin
AS1423,"Carson Communications, LLC",US,arin
AS14230,Involta,US,arin
AS14231,Banco de Venezuela,VE,lacnic
AS14232,Cooperativa Telefónica Pinamar Ltda.,AR,lacnic
AS14233,"Ancestry.com., Inc.",US,arin
AS14234,ZONAMERICA,UY,lacnic
AS14235,State of New Mexico,US,arin
AS14236,"Adara Networks, Inc.",US,arin
AS14237,Beamspeed LLC,US,arin
AS14238,Innovative Networks LLC,US,arin
AS14239,Rich Products Corporation,US,arin
AS1424,Motorola Inc,US,arin
AS14240,Microsemi Storage Solutions Ltd,CA,arin
AS14241,Oakland Schools,US,arin
AS14242,City of Chandler,US,arin
AS14243,CGS,US,arin
AS14244,NSI Hosting,US,arin
AS14245,"Sega of America, Inc.",US,arin
AS14246,Thales Communications Inc.,US,arin
AS14247,AT&T Corp.,US,arin
AS14248,Instron,US,arin
AS14249,"Internet Engine, S.A. de C.V.",MX,lacnic
AS1425,Ellicott City Cable,US,arin
AS14251,"Multiple Lising Service of Long Island, Inc.",US,arin
AS14252,"School Specialty, Inc.",US,arin
AS14253,Agio LLC,US,arin
AS14254,Sync.com Inc.,CA,arin
AS14255,University of San Diego,US,arin
AS14256,Otay Water District,US,arin
AS14257,"The Iserv Company, LLC",US,arin
AS14258,"Arctic Slope Telephone Association Cooperative, Inc.",US,arin
AS14259,Gtd Internet S.A.,CL,lacnic
AS1426,"Lightwave Networking, LLC",US,arin
AS14260,Royal&Sunalliance Insurance,US,arin
AS14261,US Network Services,US,arin
AS14262,CALUMET COUNTY,US,arin
AS14263,South Dakota State Government,US,arin
AS14264,Southern Adventist University,US,arin
AS14265,TPx Communications,US,arin
AS14266,Imerys Pigments,US,arin
AS14268,Northern Computer Solutions Ltd.,CA,arin
AS14269,Virginia Department of Motor Vehicles,US,arin
AS1427,Alion Science and Technology Corporation,US,arin
AS14270,EAGLE.CA,CA,arin
AS14271,"Proconex, Inc.",US,arin
AS14272,MCPc Inc.,US,arin
AS14273,Online Resources Corporation,US,arin
AS14274,TENNESSEE WIRELESS LLC,US,arin
AS14275,Freese-Notis Global Internet,US,arin
AS14276,"Straitshot Communications, Inc.",US,arin
AS14277,GiGstreem,US,arin
AS14278,Black Box Network Services,US,arin
AS14279,"HD Supply, Inc.",US,arin
AS1428,"DRW Holdings, LLC",US,arin
AS14280,NetNation Communications Inc,CA,arin
AS14281,Next Quest 2000 LLC,US,arin
AS14282,PERSIS TELECOM,BR,lacnic
AS14283,blueone.net,US,arin
AS14284,ROCKHURST UNIVERSITY,US,arin
AS14285,Banco Mercantil,VE,lacnic
AS14286,Tecnet SA,AR,lacnic
AS14287,"Triad Telecom, Inc.",US,arin
AS14288,MPInet,US,arin
AS14289,COREFIRST BANK & TRUST,US,arin
AS1429,FriendFinder Networks Inc,US,arin
AS14290,Answering Service for Directors,US,arin
AS14291,Antietam Broadband,US,arin
AS14292,CSC Consular Services Inc.,US,arin
AS14293,SHOPPERTRAK RCT CORPORATION,US,arin
AS14294,FUZE INC,US,arin
AS14295,"LJK Companies, Inc",US,arin
AS14296,"3GTY, Inc.",US,arin
AS14297,"ACI Worldwide, Inc.",US,arin
AS14298,Environmental Protection Agency,US,arin
AS14299,"Automatic Data Processing, Inc.",US,arin
AS143,1881CS/XPC,US,arin
AS1430,Board of Bar Overseers,US,arin
AS14300,Toys R Us,US,arin
AS14301,Everest Global Services,US,arin
AS14302,"Infinigon, Inc.",US,arin
AS14303,City of Memphis,US,arin
AS14304,Intertrade Systems Inc.,CA,arin
AS14305,Accuray Incorporated,US,arin
AS14306,GlaxoSmithKline,US,arin
AS14307,"ROCK SERVICES, INC.",US,arin
AS14308,City of Longmont,US,arin
AS14309,Go2America LLC,US,arin
AS1431,Allegany County Public Schools,US,arin
AS14311,"MCI Communications Services, Inc. d/b/a Verizon Business",US,arin
AS14312,"1-800 Contacts, Inc.",US,arin
AS14313,CLEARVIEW MANAGEMENT CONSULTANTS,US,arin
AS14314,The University of Texas at Brownsville,US,arin
AS14315,CafePress.com,US,arin
AS14316,Twinneyville Corporation N.V.,CW,lacnic
AS14317,"Advanced Computer Connections, Inc.",US,arin
AS14318,PSINet Chile,CL,lacnic
AS14319,Furman University,US,arin
AS1432,Albion College,US,arin
AS14320,Meredith Corp.,US,arin
AS14321,"Servicio Uniteller, Inc.",US,arin
AS14322,NEW YORK ACADEMY OF MEDICINE,US,arin
AS14323,"Syniverse Technologies, LLC",US,arin
AS14324,"Sound Shore Management, Inc.",US,arin
AS14325,"OSHEAN, Inc.",US,arin
AS14326,"PacketFabric, Inc.",US,arin
AS14327,Portland General Electric Company,US,arin
AS14328,"R.R. Donnelley and Sons, Co.",US,arin
AS14329,"OPEN ACCESS TECHNOLOGY INTERNATIONAL, INC.",US,arin
AS1433,"Valinor Management, LLC",US,arin
AS14330,Digital Insight Corporation,US,arin
AS14331,TCM,ZA,afrinic
AS14332,"Connexity, Inc.",US,arin
AS14333,"On-Ramp Indiana, Inc.",US,arin
AS14334,Renaissance Learning Inc.,US,arin
AS14335,"VC3, Inc.",US,arin
AS14336,eHealth Saskatchewan,CA,arin
AS14337,"CVM, INC",US,arin
AS14338,KORE Wireless,CA,arin
AS14339,SADESA S.A.,AR,lacnic
AS1434,"DW Partners, LP",US,arin
AS14340,"Salesforce.com, Inc.",US,arin
AS14341,MARVEL ENTERPRISES INC,US,arin
AS14342,"Integra Telecom, Inc.",US,arin
AS14343,i2 Technologies Inc.,US,arin
AS14344,RoundTower Technologies LLC,US,arin
AS14345,"AMERIPRISE FINANCIAL SERVICES, INC.",US,arin
AS14346,Agencia Estado Ltda,BR,lacnic
AS14347,"Spectrum Communications & Consulting, Inc.",US,arin
AS14348,University of Rhode Island,US,arin
AS14349,Kansas City Power & Light,US,arin
AS1435,"New WT Miami, LLC",US,arin
AS14351,Southwestern University,US,arin
AS14352,ERP Suites,US,arin
AS14353,"Wix.Com, Inc.",US,arin
AS14354,Region 9 Education Service Center,US,arin
AS14355,"Interstate Warehousing, Inc.",US,arin
AS14356,Infor (US) Inc,US,arin
AS14357,King County IT/I-NET,US,arin
AS14358,Mackenzie Financial Corp,CA,arin
AS14359,Windstream Communications LLC,US,arin
AS1436,Meridian Health System,US,arin
AS14361,HopOne Internet Corporation,US,arin
AS14362,Vaisala Inc,US,arin
AS14363,"Infobahn Outfitters, Inc.",US,arin
AS14364,AMEC,US,arin
AS14365,Adobe Systems Inc.,US,arin
AS14366,Rogers Communications Canada Inc.,CA,arin
AS14367,TDS TELECOM,US,arin
AS14368,Brazos Internet,US,arin
AS14369,Nmax,US,arin
AS1437,Visonex LLC,US,arin
AS14370,"Broadvox, LLC",US,arin
AS14371,Paul Bunyan Communications,US,arin
AS14372,Pegasystems Inc.,US,arin
AS14373,University of Texas Medical Branch,US,arin
AS14374,Agri-Valley Services Inc.,US,arin
AS14375,SunGard Energy and Commodities,US,arin
AS14376,"Sungard Securities Finance, Inc.",US,arin
AS14377,PSINet Panama,PA,lacnic
AS14378,"Compliance Information Systems, Inc.",US,arin
AS14379,Northern Trust Company,US,arin
AS1438,PIONEER STATE MUTUAL INSURANCE CO.,US,arin
AS14380,Opus Interactive,US,arin
AS14381,"Caterpillar, Inc.",US,arin
AS14382,Education Service Center,US,arin
AS14383,Virtacore Systems Inc,US,arin
AS14384,"HOST DESIGNS, LLC",US,arin
AS14385,"OraMetrix, Inc.",US,arin
AS14386,"Com-graphics, Inc.",US,arin
AS14387,SwitchWorks Technologies Inc.,CA,arin
