geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone
257671,en,EU,Europe,GR,Greece,I,Attica,,,"Markopoulo Mesogaias",,Europe/Athens
257717,en,EU,Europe,GR,Greece,I,Attica,,,Marathon,,Europe/Athens
257721,en,EU,Europe,GR,Greece,K,"North Aegean",84,Samos,Marathokampos,,Europe/Athens
257811,en,EU,Europe,GR,Greece,I,Attica,,,Mandra,,Europe/Athens
257859,en,EU,Europe,GR,Greece,M,Crete,91,"Nomos Irakleiou",Malia,,Europe/Athens
257868,en,EU,Europe,GR,Greece,H,"Central Greece",06,Phthiotis,Malesina,,Europe/Athens
258007,en,EU,Europe,GR,Greece,I,Attica,,,Magoula,,Europe/Athens
258066,en,EU,Europe,GR,Greece,J,Peloponnese,15,Corinthia,Loutraki,,Europe/Athens
258182,en,EU,Europe,GR,Greece,H,"Central Greece",06,Phthiotis,Livanates,,Europe/Athens
258314,en,EU,Europe,GR,Greece,I,Attica,,,"Porto Rafti",,Europe/Athens
258332,en,EU,Europe,GR,Greece,I,Attica,,,Lykovrysi,,Europe/Athens
258438,en,EU,Europe,GR,Greece,F,"Ionian Islands",24,Lefkada,Lefkada,,Europe/Athens
258508,en,EU,Europe,GR,Greece,I,Attica,,,Leontario,,Europe/Athens
258543,en,EU,Europe,GR,Greece,I,Attica,,,Lavrio,,Europe/Athens
258576,en,EU,Europe,GR,Greece,E,Thessaly,42,"Nomos Larisis",Larissa,,Europe/Athens
258620,en,EU,Europe,GR,Greece,H,"Central Greece",06,Phthiotis,Lamia,,Europe/Athens
258842,en,EU,Europe,GR,Greece,G,"West Greece",14,"Ilia Prefecture",Krestena,,Europe/Athens
258873,en,EU,Europe,GR,Greece,J,Peloponnese,11,"Nomos Argolidos",Kranidi,,Europe/Athens
259245,en,EU,Europe,GR,Greece,L,"South Aegean",81,Dodecanese,Kos,,Europe/Athens
259251,en,EU,Europe,GR,Greece,I,Attica,,,Koropi,,Europe/Athens
259289,en,EU,Europe,GR,Greece,J,Peloponnese,15,Corinthia,Corinth,,Europe/Athens
259302,en,EU,Europe,GR,Greece,E,Thessaly,44,Trikala,Korydallos,,Europe/Athens
259718,en,EU,Europe,GR,Greece,M,Crete,94,Chania,Kissamos,,Europe/Athens
259806,en,EU,Europe,GR,Greece,H,"Central Greece",04,Euboea,Kymi,,Europe/Athens
259824,en,EU,Europe,GR,Greece,I,Attica,,,Kifissia,,Europe/Athens
259830,en,EU,Europe,GR,Greece,J,Peloponnese,15,Corinthia,Kiato,,Europe/Athens
259949,en,EU,Europe,GR,Greece,I,Attica,,,Cholargos,,Europe/Athens
259973,en,EU,Europe,GR,Greece,K,"North Aegean",85,Chios,Chios,,Europe/Athens
260109,en,EU,Europe,GR,Greece,E,Thessaly,44,Trikala,"Agios Konstantinos",,Europe/Athens
260114,en,EU,Europe,GR,Greece,M,Crete,94,Chania,Chania,,Europe/Athens
260133,en,EU,Europe,GR,Greece,H,"Central Greece",04,Euboea,Chalcis,,Europe/Athens
